state,year,vehicle_segment,ice_vehicle_registrations,ev_vehicle_registrations,charging_stations,avg_ev_subsidy_rs,fuel_price_rs_per_litre,avg_income_index
Delhi,2016,4W,94901,12923,694,50000,93.9,0.66
Madhya Pradesh,2019,2W,125690,38702,730,0,90.51,1.47
Assam,2017,4W,65915,13463,360,75000,97.61,1.02
Karnataka,2016,2W,66028,0,331,25000,105.3,0.64
Madhya Pradesh,2024,4W,52759,462,939,0,94.99,1.01
Assam,2019,4W,73226,6997,533,100000,105.19,0.67
Odisha,2019,3W,61980,7489,319,100000,93.05,1.0
Telangana,2016,2W,135568,31486,133,75000,97.79,1.02
Punjab,2020,2W,40154,6813,721,25000,92.21,0.7
Punjab,2017,2W,85141,11786,409,75000,99.72,0.77
Delhi,2021,3W,66180,16923,603,100000,93.52,1.3
Telangana,2016,4W,27108,2231,683,75000,90.14,1.32
Assam,2017,3W,110929,26969,248,0,111.58,1.12
Assam,2020,4W,70723,7219,444,100000,97.77,0.83
Haryana,2019,4W,104375,29812,478,0,92.99,1.21
Karnataka,2019,3W,110105,20494,961,0,109.27,0.99
Madhya Pradesh,2017,3W,1407,326,526,50000,97.86,1.01
Bihar,2021,2W,71029,9094,607,50000,100.26,1.26
Haryana,2019,4W,55745,5564,774,50000,110.09,0.69
Tamil Nadu,2018,4W,89862,14351,790,25000,110.19,1.4
Uttar Pradesh,2023,3W,58938,6909,382,50000,110.45,1.36
Assam,2019,4W,36094,5432,429,50000,100.44,0.72
Karnataka,2019,2W,69718,4864,451,50000,102.97,1.2
West Bengal,2020,2W,92121,16190,477,25000,114.06,0.75
Punjab,2019,4W,22436,3305,518,75000,91.29,0.78
West Bengal,2023,2W,153897,20124,590,50000,93.62,0.99
Gujarat,2019,4W,114284,25735,737,100000,99.19,1.13
Assam,2020,4W,52718,11001,1157,100000,92.26,1.34
Odisha,2022,3W,50283,4694,529,25000,106.94,0.52
Gujarat,2024,3W,64895,0,520,0,106.13,0.67
Karnataka,2017,2W,52417,15986,265,25000,113.12,1.38
Odisha,2017,3W,70338,16272,130,75000,110.43,1.06
Bihar,2024,3W,31775,5352,577,100000,98.48,0.85
Maharashtra,2017,4W,103454,20917,589,100000,112.18,1.28
Telangana,2021,2W,59599,10324,587,50000,90.13,0.66
Odisha,2018,3W,58569,19713,642,0,106.3,0.72
Telangana,2024,2W,50759,11609,847,100000,106.24,1.35
Delhi,2020,4W,55379,12859,1069,100000,92.34,0.87
Rajasthan,2018,3W,53314,3647,476,25000,112.3,1.13
Assam,2024,2W,90234,13652,936,100000,104.42,0.99
Punjab,2023,2W,98770,6349,178,0,113.51,1.45
Haryana,2020,2W,94474,12059,714,0,90.39,1.43
Madhya Pradesh,2017,2W,94197,13443,245,75000,111.28,0.82
Tamil Nadu,2024,2W,34554,5922,126,25000,113.4,1.2
Jharkhand,2024,2W,53484,8844,517,50000,111.93,1.24
Chhattisgarh,2022,2W,45710,11807,816,100000,98.99,0.79
Rajasthan,2020,3W,95451,19221,654,50000,109.96,1.15
Bihar,2024,3W,195581,47995,695,0,112.25,0.84
Madhya Pradesh,2019,2W,56815,7176,354,50000,101.64,1.04
Maharashtra,2024,2W,82456,18027,16,100000,90.76,0.54
Madhya Pradesh,2016,2W,65842,17046,519,0,109.25,0.72
Madhya Pradesh,2017,2W,47667,3668,564,50000,91.29,1.03
Tamil Nadu,2024,2W,144318,30796,107,50000,109.88,0.77
Jharkhand,2019,4W,85593,6055,465,25000,90.63,1.46
Jharkhand,2019,3W,95149,22509,139,75000,93.91,0.75
Rajasthan,2017,2W,69964,22846,621,75000,106.5,0.78
Haryana,2022,3W,143664,36382,44,75000,98.9,1.26
Karnataka,2017,2W,65472,12726,732,75000,101.85,0.6
Punjab,2017,2W,17238,819,424,25000,99.96,1.12
Rajasthan,2024,3W,42566,4511,539,25000,99.37,1.13
Odisha,2018,3W,114894,17351,205,75000,91.76,1.14
Madhya Pradesh,2017,3W,93863,14734,384,100000,113.51,1.08
Delhi,2016,4W,127580,3344,1139,100000,113.54,0.89
Maharashtra,2017,2W,21437,3817,313,25000,91.78,0.82
Odisha,2023,3W,62319,14642,607,25000,105.72,1.38
West Bengal,2016,2W,59212,13694,688,75000,97.05,0.68
Maharashtra,2022,3W,102418,21613,493,75000,99.3,1.28
Kerala,2022,4W,83519,17097,439,100000,111.46,0.93
Jharkhand,2018,2W,104762,24236,891,50000,98.0,1.4
Rajasthan,2016,4W,80630,14708,460,100000,113.77,1.07
Karnataka,2021,2W,55453,19920,198,0,106.81,1.25
Jharkhand,2024,4W,43574,9255,688,25000,92.28,0.99
Karnataka,2024,2W,82274,6769,792,25000,98.77,0.62
Tamil Nadu,2017,4W,75588,14459,330,25000,105.46,0.6
West Bengal,2017,4W,87348,8674,358,25000,92.12,1.49
Karnataka,2017,3W,86961,451,77,100000,110.32,1.45
Chhattisgarh,2021,3W,58446,7519,593,25000,100.61,1.41
Punjab,2019,3W,124260,18402,199,75000,90.28,0.97
Gujarat,2020,3W,89681,6033,655,50000,114.05,0.87
Tamil Nadu,2016,3W,125982,27591,379,100000,95.59,1.46
Delhi,2017,4W,86722,13117,529,25000,114.23,1.02
Chhattisgarh,2020,2W,56809,16765,787,50000,101.36,1.13
Tamil Nadu,2019,3W,106169,17871,1156,50000,96.93,0.69
Uttar Pradesh,2023,4W,55751,0,342,50000,104.59,0.58
